img_name,img_1,img_2,img_3,txt_1,txt_2,txt_3
Book,C:\\Users\\que_d\\Documents\\McGill\\LepageLab\\psychopyExperiment_github\\PictureIdentificationTask\\stimuli\\YY_book_img1.png,C:\\Users\\que_d\\Documents\\McGill\\LepageLab\\psychopyExperiment_github\\PictureIdentificationTask\\stimuli\\YY_book_img2.png,C:\\Users\\que_d\\Documents\\McGill\\LepageLab\\psychopyExperiment_github\\PictureIdentificationTask\\stimuli\\book_img3.png,Livre,Livre,Livre
Butterfly,C:\\Users\\que_d\\Documents\\McGill\\LepageLab\\psychopyExperiment_github\\PictureIdentificationTask\\stimuli\\NN_butterfly_img1.png,C:\\Users\\que_d\\Documents\\McGill\\LepageLab\\psychopyExperiment_github\\PictureIdentificationTask\\stimuli\\NN_butterfly_img2.png,C:\\Users\\que_d\\Documents\\McGill\\LepageLab\\psychopyExperiment_github\\PictureIdentificationTask\\stimuli\\butterfly_img3.png,Crayon à mine,Crayon à mine,Papillon
Cactus,C:\\Users\\que_d\\Documents\\McGill\\LepageLab\\psychopyExperiment_github\\PictureIdentificationTask\\stimuli\\NY_cactus_img1.png,C:\\Users\\que_d\\Documents\\McGill\\LepageLab\\psychopyExperiment_github\\PictureIdentificationTask\\stimuli\\NY_cactus_img2.png,C:\\Users\\que_d\\Documents\\McGill\\LepageLab\\psychopyExperiment_github\\PictureIdentificationTask\\stimuli\\cactus_img3.png,Cactus,Cactus,Cactus
Cake,C:\\Users\\que_d\\Documents\\McGill\\LepageLab\\psychopyExperiment_github\\PictureIdentificationTask\\stimuli\\YY_cake_img1.png,C:\\Users\\que_d\\Documents\\McGill\\LepageLab\\psychopyExperiment_github\\PictureIdentificationTask\\stimuli\\YY_cake_img2.png,C:\\Users\\que_d\\Documents\\McGill\\LepageLab\\psychopyExperiment_github\\PictureIdentificationTask\\stimuli\\cake_img3.png,Gâteau,Gâteau,Gâteau
Calendar,C:\\Users\\que_d\\Documents\\McGill\\LepageLab\\psychopyExperiment_github\\PictureIdentificationTask\\stimuli\\YY_calendar_img1.png,C:\\Users\\que_d\\Documents\\McGill\\LepageLab\\psychopyExperiment_github\\PictureIdentificationTask\\stimuli\\YY_calendar_img2.png,C:\\Users\\que_d\\Documents\\McGill\\LepageLab\\psychopyExperiment_github\\PictureIdentificationTask\\stimuli\\calendar_img3.png,Calendrier,Calendrier,Calendrier
Canoe,C:\\Users\\que_d\\Documents\\McGill\\LepageLab\\psychopyExperiment_github\\PictureIdentificationTask\\stimuli\\YN_canoe_img1.png,C:\\Users\\que_d\\Documents\\McGill\\LepageLab\\psychopyExperiment_github\\PictureIdentificationTask\\stimuli\\YN_canoe_img2.png,C:\\Users\\que_d\\Documents\\McGill\\LepageLab\\psychopyExperiment_github\\PictureIdentificationTask\\stimuli\\canoe_img3.png,Oreiller,Oreiller,Canot
Car,C:\\Users\\que_d\\Documents\\McGill\\LepageLab\\psychopyExperiment_github\\PictureIdentificationTask\\stimuli\\NY_car_img1.png,C:\\Users\\que_d\\Documents\\McGill\\LepageLab\\psychopyExperiment_github\\PictureIdentificationTask\\stimuli\\NY_car_img2.png,C:\\Users\\que_d\\Documents\\McGill\\LepageLab\\psychopyExperiment_github\\PictureIdentificationTask\\stimuli\\car_img3.png,Voiture,Voiture,Voiture
Carousel,C:\\Users\\que_d\\Documents\\McGill\\LepageLab\\psychopyExperiment_github\\PictureIdentificationTask\\stimuli\\YN_carousel_img1.png,C:\\Users\\que_d\\Documents\\McGill\\LepageLab\\psychopyExperiment_github\\PictureIdentificationTask\\stimuli\\YN_carousel_img2.png,C:\\Users\\que_d\\Documents\\McGill\\LepageLab\\psychopyExperiment_github\\PictureIdentificationTask\\stimuli\\carousel_img3.png,Maison,Maison,Caroussel
Carrot,C:\\Users\\que_d\\Documents\\McGill\\LepageLab\\psychopyExperiment_github\\PictureIdentificationTask\\stimuli\\YY_carrot_img1.png,C:\\Users\\que_d\\Documents\\McGill\\LepageLab\\psychopyExperiment_github\\PictureIdentificationTask\\stimuli\\YY_carrot_img2.png,C:\\Users\\que_d\\Documents\\McGill\\LepageLab\\psychopyExperiment_github\\PictureIdentificationTask\\stimuli\\carrot_img3.png,Carotte,Carotte,Carotte
Cat,C:\\Users\\que_d\\Documents\\McGill\\LepageLab\\psychopyExperiment_github\\PictureIdentificationTask\\stimuli\\NN_cat_img1.png,C:\\Users\\que_d\\Documents\\McGill\\LepageLab\\psychopyExperiment_github\\PictureIdentificationTask\\stimuli\\NN_cat_img2.png,C:\\Users\\que_d\\Documents\\McGill\\LepageLab\\psychopyExperiment_github\\PictureIdentificationTask\\stimuli\\cat_img3.png,Auditorium,Auditorium,Chat
