index,img_name,img_1,img_2,img_3,txt_1,txt_2,txt_3,trialType
6,Key,C:\\Users\\CRISPlab\\Documents\\CognitiveBiasesStudy\\Tasks\\1-PictureBADE\\stimuli\\YY_key_img1.png,C:\\Users\\CRISPlab\\Documents\\CognitiveBiasesStudy\\Tasks\\1-PictureBADE\\stimuli\\YY_key_img2.png,C:\\Users\\CRISPlab\\Documents\\CognitiveBiasesStudy\\Tasks\\1-PictureBADE\\stimuli\\key_img3.png,CLÉ,CLÉ,CLÉ,main
7,Ring,C:\\Users\\CRISPlab\\Documents\\CognitiveBiasesStudy\\Tasks\\1-PictureBADE\\stimuli\\NN_ring_img1.png,C:\\Users\\CRISPlab\\Documents\\CognitiveBiasesStudy\\Tasks\\1-PictureBADE\\stimuli\\NN_ring_img2.png,C:\\Users\\CRISPlab\\Documents\\CognitiveBiasesStudy\\Tasks\\1-PictureBADE\\stimuli\\ring_img3.png,DÉJEUNER,DÉJEUNER,BAGUE,main
8,Football,C:\\Users\\CRISPlab\\Documents\\CognitiveBiasesStudy\\Tasks\\1-PictureBADE\\stimuli\\NY_football_img1.png,C:\\Users\\CRISPlab\\Documents\\CognitiveBiasesStudy\\Tasks\\1-PictureBADE\\stimuli\\NY_football_img2.png,C:\\Users\\CRISPlab\\Documents\\CognitiveBiasesStudy\\Tasks\\1-PictureBADE\\stimuli\\football_img3.png,BALLON DE FOOTBALL,BALLON DE FOOTBALL,BALLON DE FOOTBALL,main
9,Crown,C:\\Users\\CRISPlab\\Documents\\CognitiveBiasesStudy\\Tasks\\1-PictureBADE\\stimuli\\YY_crown_img1.png,C:\\Users\\CRISPlab\\Documents\\CognitiveBiasesStudy\\Tasks\\1-PictureBADE\\stimuli\\YY_crown_img2.png,C:\\Users\\CRISPlab\\Documents\\CognitiveBiasesStudy\\Tasks\\1-PictureBADE\\stimuli\\crown_img3.png,COURONNE,COURONNE,COURONNE,main
10,Washing Machine,C:\\Users\\CRISPlab\\Documents\\CognitiveBiasesStudy\\Tasks\\1-PictureBADE\\stimuli\\YN_washing machine_img1.png,C:\\Users\\CRISPlab\\Documents\\CognitiveBiasesStudy\\Tasks\\1-PictureBADE\\stimuli\\YN_washing machine_img2.png,C:\\Users\\CRISPlab\\Documents\\CognitiveBiasesStudy\\Tasks\\1-PictureBADE\\stimuli\\washing machine_img3.png,COLIS,COLIS,LAVEUSE,main
11,Tent,C:\\Users\\CRISPlab\\Documents\\CognitiveBiasesStudy\\Tasks\\1-PictureBADE\\stimuli\\YY_tent_img1.png,C:\\Users\\CRISPlab\\Documents\\CognitiveBiasesStudy\\Tasks\\1-PictureBADE\\stimuli\\YY_tent_img2.png,C:\\Users\\CRISPlab\\Documents\\CognitiveBiasesStudy\\Tasks\\1-PictureBADE\\stimuli\\tent_img3.png,TENTE,TENTE,TENTE,main
12,Sailboat,C:\\Users\\CRISPlab\\Documents\\CognitiveBiasesStudy\\Tasks\\1-PictureBADE\\stimuli\\YN_sailboat_img1.png,C:\\Users\\CRISPlab\\Documents\\CognitiveBiasesStudy\\Tasks\\1-PictureBADE\\stimuli\\YN_sailboat_img2.png,C:\\Users\\CRISPlab\\Documents\\CognitiveBiasesStudy\\Tasks\\1-PictureBADE\\stimuli\\sailboat_img3.png,TERRAIN DE GOLF,TERRAIN DE GOLF,VOILIER,main
13,Backpack,C:\\Users\\CRISPlab\\Documents\\CognitiveBiasesStudy\\Tasks\\1-PictureBADE\\stimuli\\NY_backpack_img1.png,C:\\Users\\CRISPlab\\Documents\\CognitiveBiasesStudy\\Tasks\\1-PictureBADE\\stimuli\\NY_backpack_img2.png,C:\\Users\\CRISPlab\\Documents\\CognitiveBiasesStudy\\Tasks\\1-PictureBADE\\stimuli\\backpack_img3.png,SAC À DOS,SAC À DOS,SAC À DOS,main
14,Cake,C:\\Users\\CRISPlab\\Documents\\CognitiveBiasesStudy\\Tasks\\1-PictureBADE\\stimuli\\YY_cake_img1.png,C:\\Users\\CRISPlab\\Documents\\CognitiveBiasesStudy\\Tasks\\1-PictureBADE\\stimuli\\YY_cake_img2.png,C:\\Users\\CRISPlab\\Documents\\CognitiveBiasesStudy\\Tasks\\1-PictureBADE\\stimuli\\cake_img3.png,GÂTEAU,GÂTEAU,GÂTEAU,main
15,Monkey,C:\\Users\\CRISPlab\\Documents\\CognitiveBiasesStudy\\Tasks\\1-PictureBADE\\stimuli\\YN_monkey_img1.png,C:\\Users\\CRISPlab\\Documents\\CognitiveBiasesStudy\\Tasks\\1-PictureBADE\\stimuli\\YN_monkey_img2.png,C:\\Users\\CRISPlab\\Documents\\CognitiveBiasesStudy\\Tasks\\1-PictureBADE\\stimuli\\monkey_img3.png,SCORPION,SCORPION,SINGE,main
16,Sunflower,C:\\Users\\CRISPlab\\Documents\\CognitiveBiasesStudy\\Tasks\\1-PictureBADE\\stimuli\\NY_sunflower_img1.png,C:\\Users\\CRISPlab\\Documents\\CognitiveBiasesStudy\\Tasks\\1-PictureBADE\\stimuli\\NY_sunflower_img2.png,C:\\Users\\CRISPlab\\Documents\\CognitiveBiasesStudy\\Tasks\\1-PictureBADE\\stimuli\\sunflower_img3.png,TOURNESOL,TOURNESOL,TOURNESOL,main
